epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
157,22849.9,0.74867,0.40423,1.67898,0.97899,0.98137,0.99404,0.87221,1.102,0.42414,1.73859,0.0084556,0.0084556,0.0084556
158,22992.6,0.74673,0.40487,1.68445,0.98138,0.98218,0.99403,0.87424,1.10182,0.41763,1.74076,0.0084457,0.0084457,0.0084457
159,23136.4,0.75214,0.41145,1.68535,0.98188,0.99444,0.99422,0.87624,1.09935,0.41559,1.74574,0.0084358,0.0084358,0.0084358
160,23280.6,0.7596,0.41344,1.68606,0.9906,0.98231,0.99424,0.87974,1.08007,0.41728,1.72372,0.0084259,0.0084259,0.0084259
161,23424.5,0.75287,0.41566,1.6849,0.9862,0.95213,0.99233,0.87337,1.08559,0.42612,1.73404,0.008416,0.008416,0.008416
162,23568.2,0.74661,0.40617,1.68072,0.98301,0.9415,0.99023,0.87312,1.07854,0.43809,1.72633,0.0084061,0.0084061,0.0084061
163,23711.7,0.74003,0.41864,1.68154,0.97121,0.9506,0.99163,0.87879,1.06843,0.44721,1.71623,0.0083962,0.0083962,0.0083962
164,23854.7,0.74006,0.40691,1.68152,0.98075,0.95389,0.99163,0.88235,1.06885,0.43946,1.71452,0.0083863,0.0083863,0.0083863
165,23998.8,0.7441,0.40705,1.6821,0.98369,0.9353,0.98908,0.87694,1.082,0.44764,1.72559,0.0083764,0.0083764,0.0083764
166,24143,0.74972,0.40879,1.68516,0.97376,0.94624,0.98992,0.87961,1.07957,0.44379,1.72771,0.0083665,0.0083665,0.0083665
167,24288.2,0.75371,0.41096,1.68978,0.96363,0.95958,0.9896,0.87878,1.08761,0.45175,1.73157,0.0083566,0.0083566,0.0083566
168,24433.7,0.75701,0.41712,1.68727,0.98147,0.95289,0.99239,0.87949,1.08965,0.43955,1.73229,0.0083467,0.0083467,0.0083467
169,24577.8,0.74354,0.40731,1.67686,0.98901,0.94421,0.99231,0.87649,1.08676,0.44739,1.72622,0.0083368,0.0083368,0.0083368
170,24722.2,0.73248,0.39377,1.67954,0.95958,0.96754,0.99297,0.88029,1.0788,0.44087,1.72388,0.0083269,0.0083269,0.0083269
171,24864.5,0.72947,0.39571,1.6704,0.95931,0.9764,0.99379,0.88067,1.07718,0.43198,1.72062,0.008317,0.008317,0.008317
172,25004.7,0.73711,0.40001,1.67956,0.96021,0.97278,0.99245,0.88052,1.07241,0.44176,1.71564,0.0083071,0.0083071,0.0083071
173,25145.7,0.74089,0.40391,1.6754,0.97082,0.9568,0.99183,0.88386,1.06097,0.43911,1.71242,0.0082972,0.0082972,0.0082972
174,25290.2,0.73123,0.39908,1.67214,0.96012,0.99239,0.99364,0.88108,1.07057,0.43351,1.72526,0.0082873,0.0082873,0.0082873
175,25437.3,0.73136,0.39773,1.68135,0.96352,0.98731,0.99319,0.88005,1.06678,0.42955,1.7252,0.0082774,0.0082774,0.0082774
176,25578.1,0.73002,0.39098,1.67488,0.96876,0.98037,0.9935,0.87952,1.07107,0.43069,1.72721,0.0082675,0.0082675,0.0082675
177,25719.7,0.73075,0.39247,1.67181,0.98812,0.96517,0.99371,0.88002,1.08285,0.44287,1.72732,0.0082576,0.0082576,0.0082576
178,25859.5,0.72852,0.39436,1.67088,0.97688,0.97496,0.99355,0.87729,1.0943,0.4408,1.74357,0.0082477,0.0082477,0.0082477
